Sales,Price,Feature,Display,Price - Competitor 1,Price - Competitor 2,Price - Competitor 3,Price - Competitor 4,Price - Competitor 5
23,5.89,0,0,3.98,3.36,5.99,4.71,3.39
76,5.78,0,0,3.98,3.62,5.39,3.89,2.50
34,6.19,0,0,4.15,3.04,6.39,3.67,2.00
48,6.29,0,0,3.98,3.72,5.07,4.37,2.75
426,5.00,1,1,3.98,4.12,5.49,3.96,3.49
37,5.99,0,0,3.98,3.02,5.13,4.30,2.75
139,5.47,0,1,3.98,3.91,4.50,5.14,3.39
86,5.12,0,1,3.98,3.74,4.50,4.97,3.39
34,5.99,0,0,3.98,3.02,4.44,4.44,3.49
245,5.07,1,1,3.98,3.92,5.02,4.95,3.49
259,5.02,1,1,3.98,3.93,5.00,4.97,3.49
415,5.01,1,1,3.98,3.84,5.00,4.89,3.49
110,5.00,1,0,3.98,4.03,5.50,4.30,2.50
76,6.19,0,0,4.16,3.92,6.39,4.12,2.51
104,5.59,0,0,4.16,3.38,5.87,5.03,3.19
6,6.39,0,0,3.97,3.36,5.53,3.33,3.69
106,5.04,0,1,3.97,3.99,5.74,4.41,2.00
36,5.79,1,0,4.16,3.86,5.99,4.14,3.19
35,5.78,0,0,3.97,3.23,5.68,3.66,2.99
202,5.01,1,1,3.97,3.00,5.99,3.97,2.50
65,5.62,1,0,4.16,4.92,6.99,5.00,3.29
73,5.87,0,0,4.16,4.23,5.14,3.76,2.68
33,6.29,0,0,3.97,3.76,5.11,4.46,3.27
40,6.23,0,0,3.97,4.72,6.29,4.71,3.69
50,5.22,0,0,3.97,3.28,4.60,2.94,2.08
34,6.09,0,0,3.97,3.68,5.00,4.70,3.49
32,5.78,0,0,4.16,3.79,4.50,3.68,2.13
441,5.23,1,1,4.16,3.86,5.44,4.99,2.62
132,5.06,1,0,3.97,3.90,5.95,4.97,2.45
50,6.09,0,0,3.97,4.38,5.00,3.47,2.57
171,5.00,1,1,3.97,3.52,5.99,4.19,3.39
19,6.19,0,0,3.97,4.28,5.04,3.64,2.57
72,6.19,0,0,3.97,4.39,4.89,3.39,2.58
40,5.00,1,0,4.16,4.23,5.50,3.87,2.04
138,5.79,1,1,4.16,3.96,5.99,5.13,3.12
85,5.72,0,0,3.97,4.10,5.69,4.19,3.79
286,5.00,1,1,4.16,3.56,5.99,4.33,3.29
24,5.69,0,0,3.97,4.12,5.98,4.13,3.29
27,5.69,0,0,3.97,4.11,5.18,5.05,2.19
87,5.29,0,0,3.97,3.10,5.61,4.09,3.09
73,6.19,0,0,3.97,3.68,5.00,4.75,3.69
110,4.01,0,0,3.97,4.49,6.29,5.39,2.50
57,5.76,0,0,3.97,4.04,6.16,4.41,2.09
70,5.04,1,0,4.17,4.18,5.36,4.36,2.04
33,5.48,0,0,4.17,3.73,4.50,3.97,2.36
16,6.11,0,0,4.17,3.78,6.39,5.12,3.89
63,5.99,0,0,4.17,3.72,4.44,3.97,2.50
75,5.61,0,0,3.96,3.82,6.39,4.47,2.50
72,5.78,0,0,3.96,3.24,5.68,3.53,2.99
123,5.11,1,1,4.17,3.95,5.99,5.02,2.86
50,6.19,0,0,4.17,3.72,6.39,4.23,2.38
15,6.20,0,0,3.96,3.99,6.39,5.49,3.22
36,5.79,0,0,3.96,2.24,5.83,3.61,3.29
34,5.69,0,0,4.17,3.94,5.18,4.92,3.29
482,4.12,1,1,4.17,4.03,6.14,4.79,2.39
52,6.26,0,1,3.96,3.83,6.29,5.30,2.80
48,5.79,0,0,3.96,2.57,5.99,2.79,3.29
50,6.19,0,0,3.96,3.38,6.39,4.75,2.50
99,5.29,0,0,3.96,3.55,5.47,4.19,3.09
48,6.18,0,0,3.96,4.89,6.39,5.32,3.89
193,4.57,1,1,3.96,3.39,5.20,4.47,3.05
167,5.59,1,1,3.96,3.71,5.89,5.03,2.20
76,4.55,0,0,3.96,3.37,5.99,5.18,3.59
141,5.59,1,1,3.96,3.87,5.87,5.03,2.64
25,6.19,0,0,4.17,3.12,5.51,3.33,3.69
296,5.02,1,1,4.17,4.22,5.44,3.63,2.05
459,5.26,1,1,3.96,3.79,5.89,4.99,3.19
115,5.59,0,0,3.96,3.48,5.89,4.57,2.73
49,6.29,0,0,4.17,3.06,5.29,3.99,2.50
59,5.63,0,0,4.17,3.64,4.25,4.08,2.52
209,5.03,1,1,3.96,3.99,6.09,3.81,2.42
44,5.79,0,0,3.96,2.62,5.99,5.04,2.25
158,4.70,1,0,4.17,3.67,5.39,4.16,3.09
30,5.99,0,0,4.17,4.35,6.09,4.79,3.23
15,5.69,0,0,3.96,4.11,5.98,3.93,3.29
45,4.98,0,0,3.96,3.64,5.78,3.26,3.09
60,6.15,0,0,3.96,4.03,6.39,4.19,3.89
49,6.09,0,0,3.96,3.66,5.00,4.72,3.49
34,5.99,0,0,3.96,4.04,6.09,4.94,3.49
17,5.79,0,0,4.18,3.31,5.99,4.25,3.19
35,6.24,0,0,4.18,4.69,6.39,5.56,2.75
18,6.29,0,0,3.95,3.45,6.49,3.62,3.79
24,6.09,0,0,3.95,3.85,6.29,4.89,3.49
38,6.09,0,0,3.95,4.38,6.29,4.89,3.49
64,6.09,0,0,3.95,4.32,6.29,4.89,3.49
112,5.09,1,0,3.95,4.33,6.29,4.89,3.49
53,6.19,0,0,3.95,4.50,5.70,5.49,2.99
62,5.89,0,1,4.18,3.77,5.99,4.32,3.00
70,5.69,0,0,4.18,4.04,5.28,5.03,3.29
33,6.29,0,0,4.18,3.68,6.29,5.59,2.50
20,6.39,0,0,4.18,4.15,6.59,4.26,2.00
106,5.00,1,0,4.18,4.35,5.91,4.98,3.08
59,5.79,0,0,3.95,2.89,5.99,3.50,2.50
64,5.57,0,0,3.95,3.54,5.00,3.50,3.29
43,5.78,0,0,3.95,3.39,5.49,4.28,2.58
175,5.04,0,1,3.95,4.10,5.30,4.47,3.69
348,5.01,1,1,3.95,4.15,5.52,4.33,3.56
345,5.01,1,0,3.95,4.09,5.71,4.33,3.69
39,6.19,0,0,3.95,3.41,5.00,4.69,3.69
143,5.01,1,0,3.95,3.94,5.00,5.10,3.69
144,5.03,1,1,3.95,3.97,5.01,5.14,3.69
370,5.13,1,1,3.95,4.02,5.00,5.34,3.18
8,6.29,0,0,3.95,3.01,5.19,4.34,2.75
381,5.30,0,1,3.95,3.80,5.89,5.03,1.67
47,5.79,0,0,4.18,3.94,5.99,5.13,2.89
36,5.95,0,0,3.95,3.26,5.38,4.37,2.75
71,5.91,0,0,3.95,3.64,6.49,3.73,2.50
12,5.89,0,0,3.95,3.35,5.99,4.81,3.29
63,5.48,0,0,3.95,3.11,5.39,3.97,3.09
67,6.19,0,0,3.95,3.52,5.00,4.71,3.69
34,6.30,0,0,4.18,3.78,6.39,5.49,3.89
43,5.99,0,0,3.95,4.29,6.09,4.89,3.39
95,5.89,0,0,3.95,3.96,4.50,4.85,2.48
59,6.29,0,0,3.95,4.63,6.29,5.56,3.69
14,5.89,0,0,4.18,3.66,4.99,4.89,3.49
22,6.21,0,0,3.95,4.69,6.39,4.75,3.79
87,5.29,0,0,3.95,3.18,5.50,3.62,2.97
85,4.99,1,0,3.95,3.75,5.08,5.08,2.50
22,6.27,0,0,3.95,4.80,6.39,4.42,3.79
36,6.29,0,0,4.19,3.68,5.27,4.45,2.90
381,4.69,1,1,4.19,4.08,5.85,4.72,2.42
104,5.07,1,0,3.94,4.19,5.50,4.61,2.15
63,5.77,0,0,3.94,3.71,5.45,4.03,3.79
37,5.99,0,0,4.19,3.93,6.09,3.33,3.49
17,6.29,0,0,3.94,3.75,6.49,3.67,3.79
75,5.79,0,0,3.94,3.08,5.56,4.55,3.04
